n_eggs;souche;plaque;bocal;nom;produit;Conc;n_larves_alive;jour;Food;n_larves_dead
10;KDR;1;;KDR_eau;eau;0;7;1;0;0
10;KDR;1;;KDR_eau;eau;0;9;1;0;0
10;KDR;1;;KDR_eau;eau;0;8;1;0;0
10;KDR;1;;KDR_eau;eau;0;8;1;0;0
10;KDR;1;;KDR_eau;eau;0;8;1;0;0
10;KDR;1;;KDR_eau;eau;0;5;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;10;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;8;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;8;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;7;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;7;1;0;0
10;KDR;1;;KDR_rose;Permethrin;0.0002;8;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;10;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;8;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;9;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;8;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;6;1;0;0
10;KDR;1;;KDR_orange;Permethrin;0.002;4;1;0;0
10;KDR;1;;KDR_rouge;Permethrin;0.02;6;1;0;0
10;KDR;1;;KDR_rouge;Permethrin;0.02;8;1;0;0
10;KDR;1;;KDR_rouge;Permethrin;0.02;6;1;0;0
9;KDR;1;;KDR_rouge;Permethrin;0.02;4;1;0;0
10;KDR;1;;KDR_rouge;Permethrin;0.02;10;1;0;0
10;KDR;1;;KDR_rouge;Permethrin;0.02;7;1;0;0
10;KDR;2;;KDR_eau;eau;0;10;1;0;0
10;KDR;2;;KDR_eau;eau;0;8;1;0;0
10;KDR;2;;KDR_eau;eau;0;3;1;0;0
10;KDR;2;;KDR_eau;eau;0;8;1;0;0
10;KDR;2;;KDR_eau;eau;0;6;1;0;0
10;KDR;2;;KDR_eau;eau;0;8;1;0;0
10;KDR;2;;KDR_rose;Permethrin;0.0002;10;1;0;0
10;KDR;2;;KDR_rose;Permethrin;0.0002;2;1;0;0
